N.orig	merkki.orig	N.korjattu	merkki.korjattu
45	LLOYD	58	LLOYD
860	LMC	860	LMC
19	LMC CARAVAN	33	LMC CARAVAN
4	LMC CARAVAN GmbH  &Co.KG	33	LMC CARAVAN
3	LMC Caravan GmbH & Co. KG	33	LMC CARAVAN
2	LMC CARAVAN GMBH & CO. KG	33	LMC CARAVAN
5	LMC CARAVAN GMBH&CO.KG	33	LMC CARAVAN
6	LOOS-GLADBECK	6	LOOS-GLADBECK
6	Lorraine Dietrich	6	LORRAINE DIETRICH
236	Lotus	236	LOTUS
6	Magyar Suzuki (H)	6	MAGYAR SUZUKI
100	MAN	100	MAN
26	MAN-Carthago	34	MAN-CARTHAGO
8	MAN-CARTHAGO	34	MAN-CARTHAGO
10	MAN-Clou	19	MAN-CLOU
9	MAN-CLOU	19	MAN-CLOU
18	MAN-Concorde	18	MAN-CONCORDE
4	MAN-Niesmann+Bischoff	4	MAN-NIESMANN-BISCHOFF
5	MAN-Volkswagen	5	MAN-VOLKSWAGEN
6	MARCOS	6	MARCOS
12	MARMON	12	MARMON
417	Maserati	417	MASERATI
5	Matra	29	MATRA
24	MATRA	29	MATRA
12	Matra-Simca	12	MATRA-SIMCA
17	Maybach	17	MAYBACH
412331	Mazda	412331	MAZDA
4	mcc	26	MCC
22	MCC	26	MCC
74	MCC SMART	74	MCC SMART
6	McLouis	133	MCLOUIS
24	McLOUIS	133	MCLOUIS
84	MCLOUIS	133	MCLOUIS
9	Mc Louis	133	MCLOUIS
6	Mc LOUIS	133	MCLOUIS
4	MC LOUIS	133	MCLOUIS
15	MERCEDES	15	MERCEDES
278	Mercedes-AMG	284	MERCEDES-AMG
6	MERCEDES-AMG	284	MERCEDES-AMG
916518	Mercedes-Benz	916535	MERCEDES-BENZ
7	MERCEDES-BENZ	916535	MERCEDES-BENZ
6	MERCEDES-BENZ-	916535	MERCEDES-BENZ
4	MERSEDES-BENZ	916535	MERCEDES-BENZ
528	MB-ADRIA	543	MERCEDES-BENZ-ADRIA
6	Mercedes-Benz- Adria	543	MERCEDES-BENZ-ADRIA
3	Mercedes-Benz/Adria	543	MERCEDES-BENZ-ADRIA
6	MB ADRIA	543	MERCEDES-BENZ-ADRIA
58	MB-ADRIAMOBIL	78	MERCEDES-BENZ-ADRIAMOBIL
6	M-B ADRIAMOBIL	78	MERCEDES-BENZ-ADRIAMOBIL
11	MB-ADRIA MOBIL	78	MERCEDES-BENZ-ADRIAMOBIL
3	Mercedes-Benz-Adria Mobil	78	MERCEDES-BENZ-ADRIAMOBIL
39	MB-ADRIATIK	60	MERCEDES-BENZ-ADRIATIK
21	Mercedes-Benz-Adriatik	60	MERCEDES-BENZ-ADRIATIK
8	MB-AHORN	14	MERCEDES-BENZ-AHORN
6	Mercedes-Benz-Ahorn	14	MERCEDES-BENZ-AHORN
3	Mercedes-Benz-Arca	3	MERCEDES-BENZ-ARCA
4	Mercedes-Benz-Auto Roller	4	MERCEDES-BENZ-AUTO ROLLER
8	M-B-BURSTNER	68	MERCEDES-BENZ-BURSTNER
33	MB-BURSTNER	68	MERCEDES-BENZ-BURSTNER
25	Mercedes-Benz-Burstner	68	MERCEDES-BENZ-BURSTNER
2	MERCEDES-BURSTN	68	MERCEDES-BENZ-BURSTNER
7	MBCARLSSON	7	MERCEDES-BENZCARLSSON
13	MB-CARTHAGO	79	MERCEDES-BENZ-CARTHAGO
66	Mercedes-Benz-Carthago	79	MERCEDES-BENZ-CARTHAGO
1	MB-CHALLENGER	1	MERCEDES-BENZ-CHALLENGER
2	MB-CHAUSSON	2	MERCEDES-BENZ-CHAUSSON
14	MB-CI	60	MERCEDES-BENZ-CI
28	Mercedes-Benz-CI	60	MERCEDES-BENZ-CI
5	M-B CI	60	MERCEDES-BENZ-CI
13	MB CI	60	MERCEDES-BENZ-CI
3	MB-CLOU	16	MERCEDES-BENZ-CLOU
13	Mercedes-Benz-Clou	16	MERCEDES-BENZ-CLOU
6	MB-CONCORDE	17	MERCEDES-BENZ-CONCORDE
11	Mercedes-Benz-Concorde	17	MERCEDES-BENZ-CONCORDE
4	Mercedes-Benz-CS	4	MERCEDES-BENZ-CS
5	MB-CS REISEMOBI	5	MERCEDES-BENZ-CS REISEMOBI
4	Mercedes-Benz-Cs-Reisemobile	4	MERCEDES-BENZ-CS-REISEMOBILE
3	MERCEDES-BENZ-D	3	MERCEDES-BENZ-D
1	M-B-DETHLEFFS	242	MERCEDES-BENZ-DETHLEFFS
69	MB-DETHLEFFS	242	MERCEDES-BENZ-DETHLEFFS
6	Mercedes-Benz-Dethleffs	242	MERCEDES-BENZ-DETHLEFFS
26	M-B DETHLEFFS	242	MERCEDES-BENZ-DETHLEFFS
140	Mercedes Benz-Dethleffs	242	MERCEDES-BENZ-DETHLEFFS
2	MB-DUEERRE	2	MERCEDES-BENZ-DUE ERRE
32	MB-ELNAGH	40	MERCEDES-BENZ-ELNAGH
6	Mercedes-Benz-Elnagh	40	MERCEDES-BENZ-ELNAGH
2	M-B ELNAGH	40	MERCEDES-BENZ-ELNAGH
4	Mercedes-Benz-Eura-Mobil	224	MERCEDES-BENZ-EURA-MOBIL
177	MB-EURA MOBIL	224	MERCEDES-BENZ-EURA-MOBIL
43	Mercedes-Benz-Eura Mobil	224	MERCEDES-BENZ-EURA-MOBIL
4	Mercedes-Benz-Faun	4	MERCEDES-BENZ-FAUN
4	Mercedes-Benz-Fendt	4	MERCEDES-BENZ-FENDT
6	MB-FFB	6	MERCEDES-BENZ-FFB
17	MB-FLAIR	17	MERCEDES-BENZ-FLAIR
40	MB-FRANKIA	92	MERCEDES-BENZ-FRANKIA
52	Mercedes-Benz-Frankia	92	MERCEDES-BENZ-FRANKIA
14	MB-HEHN	20	MERCEDES-BENZ-HEHN
6	Mercedes-Benz-Hehn	20	MERCEDES-BENZ-HEHN
1	Mercedes-Benz-Hehn Mobil	1	MERCEDES-BENZ-HEHN MOBIL
599	MB-HYMER	1081	MERCEDES-BENZ-HYMER
2	MB/HYMER	1081	MERCEDES-BENZ-HYMER
474	Mercedes-Benz-Hymer	1081	MERCEDES-BENZ-HYMER
6	M-B HYMER	1081	MERCEDES-BENZ-HYMER
27	Mercedes-Benz-James Cook	27	MERCEDES-BENZ-JAMES COOK
42	MB-KARMANN	49	MERCEDES-BENZ-KARMANN
7	Mercedes-Benz-Karmann	49	MERCEDES-BENZ-KARMANN
4	Mercedes-Benz-Kuka	4	MERCEDES-BENZ-KUKA
39	MERCEDES-BENZ-L	39	MERCEDES-BENZ-L
4	Mercedes-Benz-Laika	4	MERCEDES-BENZ-LAIKA
6	MB-LA STRADA	68	MERCEDES-BENZ-LA STRADA
20	Mercedes-Benz-La Strada	68	MERCEDES-BENZ-LA STRADA
42	M-B LA STRADA	68	MERCEDES-BENZ-LA STRADA
541	MB-LMC	604	MERCEDES-BENZ-LMC
4	Mercedes-Benz -LMC	604	MERCEDES-BENZ-LMC
8	Mercedes-Benz-Lmc	604	MERCEDES-BENZ-LMC
41	Mercedes-Benz-LMC	604	MERCEDES-BENZ-LMC
4	M-B LMC	604	MERCEDES-BENZ-LMC
6	Mercedes Benz - LMC	604	MERCEDES-BENZ-LMC
17	MB-MCLOUIS	17	MERCEDES-BENZ-MCLOUIS
8	MB-MIRAGE	8	MERCEDES-BENZ-MIRAGE
2	MB- PILOTE	31	MERCEDES-BENZ-PILOTE
29	Mercedes-Benz-Pilote	31	MERCEDES-BENZ-PILOTE
6	MB-RAPID	193	MERCEDES-BENZ-RAPIDO
53	MB-RAPIDO	193	MERCEDES-BENZ-RAPIDO
3	mercedes-benz-rapido	193	MERCEDES-BENZ-RAPIDO
93	Mercedes-Benz-Rapido	193	MERCEDES-BENZ-RAPIDO
32	MERCEDES-RAPIDO	193	MERCEDES-BENZ-RAPIDO
2	MB RAPIDO	193	MERCEDES-BENZ-RAPIDO
4	Mercedes-Benz Rapido	193	MERCEDES-BENZ-RAPIDO
1	Mercedes-Benz-Rettenmaier	1	MERCEDES-BENZ-RETTENMAIER
30	MB-RIMOR	118	MERCEDES-BENZ-RIMOR
4	Mercedes-Benz - Rimor	118	MERCEDES-BENZ-RIMOR
84	Mercedes-Benz-Rimor	118	MERCEDES-BENZ-RIMOR
2	MB-RMB	2	MERCEDES-BENZ-RMB
6	MB-ROLBA	6	MERCEDES-BENZ-ROLBA
4	MB-ROLLERTEAM	14	MERCEDES-BENZ-ROLLERTEAM
4	MERCEDES-BENZ-ROLLER TEAM	14	MERCEDES-BENZ-ROLLERTEAM
6	MERCEDES-BENZ  ROLLER TEAM	14	MERCEDES-BENZ-ROLLERTEAM
26	MB-ROTEC	35	MERCEDES-BENZ-ROTEC
9	Mercedes-Benz-Rotec	35	MERCEDES-BENZ-ROTEC
4	MB-TABBERT	4	MERCEDES-BENZ-TABBERT
2	MB-TEC	16	MERCEDES-BENZ-TEC
14	Mercedes-Benz-TEC	16	MERCEDES-BENZ-TEC
1	M-B-TISCHER	3	MERCEDES-BENZ-TISCHER
2	MB-TISCHER	3	MERCEDES-BENZ-TISCHER
6	MERCEDES-BENZ-V	6	MERCEDES-BENZ-V
6	Mercedes-Benz-Weinsberg	7	MERCEDES-BENZ-WEINSBERG
1	MERCEDES-BENZ-WEINSBERG	7	MERCEDES-BENZ-WEINSBERG
6	MB-WESTFALIA	6	MERCEDES-BENZ-WESTFALIA
4	Mercedes-Benz-Wibau	4	MERCEDES-BENZ-WIBAU
3	MERCEDES/CHAUSS	3	MERCEDES-CHAUSS
1760	Mercury	1760	MERCURY
1	Merkur	1	MERKUR
6	METROPOLITAN	6	METROPOLITAN
5	METZ	5	METZ
1856	MG	1862	MG
6	M G	1862	MG
18	MGA	18	MGA
9	MGB	9	MGB
3	MG-ROVER	33	MG-ROVER
4	MG Rover	33	MG-ROVER
26	MG ROVER	33	MG-ROVER
4	Microcar	4	MICROCAR
9	MICRO-VETT	9	MICRO-VETT
26456	Mini	26456	MINI
1	Mini Marcos	1	MINI MARCOS
6	MINI MK II	6	MINI MK II
190006	Mitsubishi	190006	MITSUBISHI
4	MITSUBISHI-DETH	4	MITSUBISHI-DETH
3	Mitsubishi-Frankia	3	MITSUBISHI-FRANKIA
1	Mitsubishi-Hymer	1	MITSUBISHI-HYMER
2	MITSUBISHI-KOC	2	MITSUBISHI-KOC
3	Mobilvetta	19	MOBILVETTA
16	MOBILVETTA	19	MOBILVETTA
13	Mobilvetta Design	47	MOBILVETTA DESIGN
34	MOBILVETTA DESIGN	47	MOBILVETTA DESIGN
2	Monaco	8	MONACO
6	MONACO	8	MONACO
6	MONACO DYNASTY	6	MONACO DYNASTY
6	Monark	6	MONARK
6	MONCAYO	6	MONCAYO
40	Morelo	46	MORELO
6	MORELO	46	MORELO
20	Morgan	90	MORGAN
70	MORGAN	90	MORGAN
1565	Morris	1565	MORRIS
102	Morris-Cooper	102	MORRIS-COOPER
1156	Moskvitsh	1156	MOSKVITSH
5	Mustang	12	MUSTANG
7	MUSTANG	12	MUSTANG
18	Nash	113	NASH
95	NASH	113	NASH
6	NASH AMBASSADOR	6	NASH AMBASSADOR
204	Neckar	204	NECKAR
41	Neoplan	42	NEOPLAN
1	NEOPLAN	42	NEOPLAN
5	Neo-Traveller	5	NEO-TRAVELLER
6	NEWMAR	6	NEWMAR
39	Niesmann-Bischoff	47	NIESMANN-BISCHOFF
8	Niesmann+Bischoff	47	NIESMANN-BISCHOFF
77	Nilsson	155	NILSSON
78	NILSSON	155	NILSSON
998542	Nissan	998542	NISSAN
4	NISSAN-DUEERRE	4	NISSAN-DUE ERRE
39	NISSAN-FRANKIA	39	NISSAN-FRANKIA
1482	Niva	1482	NIVA
4	Nobel Art	4	NOBEL ART
155	NSU	155	NSU
6	Nuffield	6	NUFFIELD
12	OAKLAND	12	OAKLAND
1886	Oldsmobile	1886	OLDSMOBILE
23	Omavalmiste	23	OMAVALMISTE
922094	Opel	922094	OPEL
6	OSHKOSH	6	OSHKOSH
3	OSHKOSH DIESEL	3	OSHKOSH DIESEL
6	OSI	6	OSI
9	Overland	10	OVERLAND
1	OVERLAND	10	OVERLAND
6	PACARD	426	PACKARD
1	packard	426	PACKARD
140	Packard	426	PACKARD
279	PACKARD	426	PACKARD
18	Panhard	56	PANHARD
38	PANHARD	56	PANHARD
7	Panther	7	PANTHER
24	Paragan	24	PARAGAN
6	PEERLESS	6	PEERLESS
639398	Peugeot	639398	PEUGEOT
6	PEUGEOT-ADRIA	6	PEUGEOT-ADRIA
5	Peugeot-Autocab	10	PEUGEOT-AUTOCAB
5	PEUGEOT-AUTOCAB	10	PEUGEOT-AUTOCAB
3	PEUGEOT-AUTOSTA	3	PEUGEOT-AUTOSTA
23	PEUGEOT-BURSTNE	31	PEUGEOT-BURSTNER
2	PEUGEOT-BURSTNER	31	PEUGEOT-BURSTNER
6	PEUGEOTBURSTNER	31	PEUGEOT-BURSTNER
22	Peugeot-Casa	32	PEUGEOT-CASA
10	PEUGEOT-CASA	32	PEUGEOT-CASA
1	PEUGEOT-CHALLEN	1	PEUGEOT-CHALLEN
1	PEUGEOT-CHAUSSO	1	PEUGEOT-CHAUSSO
3	PEUGEOT-CHGER	3	PEUGEOT-CHGER
8	PEUGEOT-CONGORD	8	PEUGEOT-CONGORD
6	PEUGEOT-DETHLEF	13	PEUGEOT-DETHLEFFS
7	Peugeot-Dethleffs	13	PEUGEOT-DETHLEFFS
7	PEUGEOTDUO-LINE	7	PEUGEOTDUO-LINE
25	Peugeot-Elddis	25	PEUGEOT-ELDDIS
4	PEUGEOT-EURAMOB	4	PEUGEOT-EURAMOB
59	Peugeot-Eura-Mobil	59	PEUGEOT-EURA-MOBIL
15	PEUGEOT-FENDT	15	PEUGEOT-FENDT
9	Peugeot-FFB	9	PEUGEOT-FFB
5	PEUGEOT-FFB-TAB	5	PEUGEOT-FFB-TAB
11	PEUGEOT-FRANKIA	11	PEUGEOT-FRANKIA
8	Peugeot-Heku	8	PEUGEOT-HEKU
40	PEUGEOT-HOBBY	40	PEUGEOT-HOBBY
80	Peugeot-Hymer	80	PEUGEOT-HYMER
8	PEUGEOT-KNAUS	8	PEUGEOT-KNAUS
3	PEUGEOT-KONTIKI	3	PEUGEOT-KONTIKI
10	Peugeot-Laika	10	PEUGEOT-LAIKA
13	PEUGEOT-LMC	13	PEUGEOT-LMC
2	Peugeot-Maesss	2	PEUGEOT-MAESSS
6	Peugeot-Mobi	6	PEUGEOT-MOBI
11	Peugeot-Pilote	11	PEUGEOT-PILOTE
3	PEUGEOT POSIL	3	PEUGEOT POSIL
4	Peugeot-Pössl	69	PEUGEOT-PÖSSL
59	PEUGEOT-PÖSSL	69	PEUGEOT-PÖSSL
6	PEUGEOT PÖSSL	69	PEUGEOT-PÖSSL
3	PEUGEOT-REIMO	3	PEUGEOT-REIMO
4	Peugeot-Schwabenmobil	4	PEUGEOT-SCHWABENMOBIL
9	Peugeot-SMC	9	PEUGEOT-SMC
6	PHÄNÖMOBIL	6	PHÄNÖMOBIL
6	Pierce-Arrow	24	PIERCE-ARROW
18	PIERCE-ARROW	24	PIERCE-ARROW
6	Pininfarina	6	PININFARINA
57	PLA	57	PLA
3954	Plymouth	3957	PLYMOUTH
3	PLYMOUTH	3957	PLYMOUTH
10	Plymouth-Dodge	10	PLYMOUTH-DODGE
35	PMC	35	PMC
6	POBEDA	6	POBEDA
144	Poessl	144	POESSL
6	POLLMANN	6	POLLMANN
59	Polski-Fiat	59	POLSKI-FIAT
7332	Pontiac	7334	PONTIAC
2	PONTIAC	7334	PONTIAC
6	POPEDA	6	POPEDA
17780	Porsche	17780	PORSCHE
6	Pösll	662	PÖSSL
594	Pössl	662	PÖSSL
62	PÖSSL	662	PÖSSL
1	PRINCESS MK II VANDEN PLAS	1	PRINCESS MK II VANDEN PLAS
55	Puch	55	PUCH
1528	Quattro	1533	QUATTRO
5	QUATTRO	1533	QUATTRO
6	RACEABOUT	6	RACEABOUT
502	Rambler	502	RAMBLER
2113	Range-Rover	2113	RANGE-ROVER
383	Rapido	426	RAPIDO
43	RAPIDO	426	RAPIDO
6	RAPIDO 906	6	RAPIDO 906
6	RAPIDO CAMPING-CARS	6	RAPIDO CAMPING-CARS
4	Reliant	4	RELIANT
2	Remetz	8	REMETZ
6	REMETZ	8	REMETZ
433663	Renault	433663	RENAULT
18	Renault-Adria	864	RENAULT-ADRIA
806	RENAULT-ADRIA	864	RENAULT-ADRIA
30	RENAULT/ADRIA	864	RENAULT-ADRIA
10	RENAULT ADRIA	864	RENAULT-ADRIA
115	Renault-Adria Mobil	118	RENAULT-ADRIA MOBIL
3	RENAULT-ADRIA MOBIL	118	RENAULT-ADRIA MOBIL
2	RENAULT-ADRIATI	2	RENAULT-ADRIATI
4	Renault / Adriatik	41	RENAULT-ADRIATIK
37	Renault-Adriatik	41	RENAULT-ADRIATIK
4	RENAULT/AL-KO/ADRIAMOBIL	4	RENAULT-AL-KO-ADRIAMOBIL
16	RENAULT-ARCA	16	RENAULT-ARCA
72	RENAULT-BURSTNE	107	RENAULT-BURSTNER
5	Renault-Burstner	107	RENAULT-BURSTNER
30	RENAULT BURSTNE	107	RENAULT-BURSTNER
12	RENAULT-CABBY	12	RENAULT-CABBY
242	RENAULT-DETHLEF	545	RENAULT-DETHLEFFS
147	Renault-Dethleffs	545	RENAULT-DETHLEFFS
20	RENAULT-DETHLEFFS	545	RENAULT-DETHLEFFS
4	RENAULT-DETLEFFS	545	RENAULT-DETHLEFFS
18	RENAULT/DETHLEF	545	RENAULT-DETHLEFFS
114	RENAULT DETHLEF	545	RENAULT-DETHLEFFS
1	RENAULT-ELDDIS	1	RENAULT-ELDDIS
8	RENAULT-ELNAGH	8	RENAULT-ELNAGH
5	RENAULT-GRANDUC	5	RENAULT-GRANDUC
3	Renault-Hobby	3	RENAULT-HOBBY
4	Renault-Hymer	38	RENAULT-HYMER
34	RENAULT-HYMER	38	RENAULT-HYMER
229	Renault-Knaus	667	RENAULT-KNAUS
411	RENAULT-KNAUS	667	RENAULT-KNAUS
6	RENAULT/KNAUS	667	RENAULT-KNAUS
21	RENAULT KNAUS	667	RENAULT-KNAUS
14	RENAULT-KNAUS TABBERT	14	RENAULT-KNAUS TABBERT
6	Renault La Strada	10	RENAULT LA STRADA
4	RENAULT LA STRADA	10	RENAULT LA STRADA
12	RENAULT-MILLER	12	RENAULT-MILLER
3	RENAULT-MOBILVE	3	RENAULT-MOBILVE
4	Renault-Mobilvetta	4	RENAULT-MOBILVETTA
4	RENAULT-MOOVEO	4	RENAULT-MOOVEO
12	Renault-Paragan	12	RENAULT-PARAGAN
9	RENAULT-PÖSSL	9	RENAULT-PÖSSL
2	RENAULT-RAPIDO	2	RENAULT-RAPIDO
9	Renault-Rimor	21	RENAULT-RIMOR
12	RENAULT-RIMOR	21	RENAULT-RIMOR
6	Renault-Saviem	6	RENAULT-SAVIEM
6	RENAULT-THEAULT	33	RENAULT-THEAULT
27	RENAULT THEAULT	33	RENAULT-THEAULT
2	Renault - Weinsberg	8	RENAULT-WEINSBERG
4	Renault-Weinsberg	8	RENAULT-WEINSBERG
2	RENAULT-WEINSBERG	8	RENAULT-WEINSBERG
4	Renault-XGO	4	RENAULT-XGO
33	REO	33	REO
8	Riley	26	RILEY
18	RILEY	26	RILEY
16	Rimor	35	RIMOR
19	RIMOR	35	RIMOR
12	ROLLER TEAM	12	ROLLER TEAM
683	Rolls-Royce	683	ROLLS-ROYCE
4	Roush	4	ROUSH
6276	Rover	6281	ROVER
5	ROVER	6281	ROVER
6	RUGBY	6	RUGBY
197322	Saab	197322	SAAB
6	SAAB-LANCIA	6	SAAB-LANCIA
2	Santana (E)	2	SANTANA
6	Saturn	18	SATURN
12	SATURN	18	SATURN
5	Scaletta	5	SCALETTA
556	Scania	556	SCANIA
5	Scania Vabis	5	SCANIA VABIS
1	Schulz-Automobile	1	SCHULZ-AUTOMOBILE
1	Scion	13	SCION
12	SCION	13	SCION
4	S.E.A	235	SEA
161	Sea	235	SEA
70	SEA	235	SEA
6	SEA FIAT	6	SEA FIAT
6	SEARS	6	SEARS
169564	Seat	169564	SEAT
28	Seat-Fiat	28	SEAT-FIAT
47	Setra	47	SETRA
6	Shay	6	SHAY
4	Shelby	9	SHELBY
5	SHELBY	9	SHELBY
468	Simca	468	SIMCA
6	SIMCA / FIAT	6	SIMCA-FIAT
18	Singer	24	SINGER
6	SINGER	24	SINGER
77	Sisu	77	SISU
639740	Skoda	639746	SKODA
6	SKODA	639746	SKODA
11767	Smart	11767	SMART
1	SMZ	1	SMZ
117	Solifer	117	SOLIFER
4	SOLIFER MOBILE	4	SOLIFER MOBILE
10	SPARTAN	10	SPARTAN
2	SPTN	2	SPTN
854	Ssangyong	854	SSANGYONG
6	STADIA	6	STADIA
48	STANDARD	54	STANDARD
6	STANDART	54	STANDARD
6	STANDARD VANGUARD	6	STANDARD VANGUARD
6	STAR	6	STAR
6	STEARNS - KNIGHT	6	STEARNS-KNIGHT
5	Steyr	5	STEYR
6	Steyr-Daimler	6	STEYR-DAIMLER
108	Steyr-Puch	108	STEYR-PUCH
6	STUDEBACKER	263	STUDEBAKER
41	Studebaker	263	STUDEBAKER
216	STUDEBAKER	263	STUDEBAKER
6	STUTZ	6	STUTZ
3	STX	3	STX
103074	Subaru	103074	SUBARU
6	Subaru-Elcat	6	SUBARU-ELCAT
480	Sunbeam	480	SUNBEAM
6	Sunbeam Talbot	6	SUNBEAM TALBOT
8	Sunlight	12	SUNLIGHT
4	SUNLIGHT	12	SUNLIGHT
279	Sun Living	313	SUN LIVING
34	SUN LIVING	313	SUN LIVING
4	SUN VOYAGER	4	SUN VOYAGER
95291	Suzuki	95291	SUZUKI
4	SUZUKI-MARUTI	4	SUZUKI-MARUTI
2279	Talbot	2279	TALBOT
10	Talbot-Matra	10	TALBOT-MATRA
6	TALBOT-PEUGEOT	6	TALBOT-PEUGEOT
12	Tatra	12	TATRA
12	TATRAPLAN	12	TATRAPLAN
4	TD CARS	4	TD CARS
8	T.E.C	58	TEC
28	T.E.C.	58	TEC
22	TEC	58	TEC
3	T.E.C Caravan GmbH & Co	3	TEC CARAVAN
4	TEMPO	4	TEMPO
12	TERRAPLANE	12	TERRAPLANE
1526	Tesla Motors	1532	TESLA MOTORS
6	TESLA MOTORS	1532	TESLA MOTORS
5	TEVE	5	TEVE
17	TEVE-FIAT	17	TEVE-FIAT
6	TEVE-FORD	12	TEVE-FORD
6	TEVE FORD	12	TEVE-FORD
1	TEVE-TRANSIT	3	TEVE-TRANSIT
2	TEVE TRANSIT	3	TEVE-TRANSIT
13	TEVE-VW	13	TEVE-VOLKSWAGEN
2	TEVE-VW-100L	2	TEVE-VOLKSWAGEN-100L
6	TEVE-VW 580M	9	TEVE-VOLKSWAGEN 580M
3	TEVE-WV 580M	9	TEVE-VOLKSWAGEN 580M
85	Think	109	THINK
24	THINK	109	THINK
2	TIFFIN	2	TIFFIN
7	Tiger	7	TIGER
6	TOYOPET	6	TOYOPET
6	toyota	2076949	TOYOTA
2076932	Toyota	2076949	TOYOTA
9	TOYOTA	2076949	TOYOTA
2	TOYOTA MOTORSPORT	2076949	TOYOTA
524	Trabant	530	TRABANT
6	TRABANT	530	TRABANT
6	TRICANO S.p.A.	36	TRIGANO
3	Trigano	36	TRIGANO
21	TRIGANO	36	TRIGANO
2	Trigano S.P.A.	36	TRIGANO
4	TRIGANO S.P.A.	36	TRIGANO
2	TRIPLE-E	4	TRIPLE-E
2	TRIPLE E	4	TRIPLE-E
2284	Triumph	2284	TRIUMPH
52	TVR	52	TVR
160	UAZ	160	UAZ
6	Umesläp	6	UMESLÄP
6	Valiant	31	VALIANT
25	VALIANT	31	VALIANT
6	VANDEN-PLAS	12	VANDEN-PLAS
6	VANDEN PLAS	12	VANDEN-PLAS
14	Van Hool	18	VAN HOOL
4	VAN HOOL	18	VAN HOOL
1069	Vauxhall	1069	VAUXHALL
28	Vaz	34	VAZ
6	VAZ	34	VAZ
26	VEDETTE	26	VEDETTE
6	VELOREX	6	VELOREX
6	VICTORIA	6	VICTORIA
6	VINTAGE AUTOWORKS	6	VINTAGE AUTOWORKS
1	VIRONEX	1	VIRONEX
6	VIS	6	VIS
175	Volga	175	VOLGA
1514991	Volkswagen	1753433	VOLKSWAGEN
12	VOLKSWAGEN	1753433	VOLKSWAGEN
31767	Volkswagen VW	1753433	VOLKSWAGEN
6	VOLKSWAGEN-VW	1753433	VOLKSWAGEN
206138	Volkswagen, VW	1753433	VOLKSWAGEN
6	VOLSWAGEN	1753433	VOLKSWAGEN
507	VW	1753433	VOLKSWAGEN
6	WOLKSWAGEN	1753433	VOLKSWAGEN
1	VOLKSWAGEN-BEA	1	VOLKSWAGEN-BEA
1	VOLKSWAGEN-BUG	1	VOLKSWAGEN-BUG
5	VOLKSWAGEN-CA	5	VOLKSWAGEN-CA
25	VOLKSWAGEN-CAC	27	VOLKSWAGEN-CAC
2	VOLKSWAGEN CAC	27	VOLKSWAGEN-CAC
6	VOLKSWAGEN-DES	6	VOLKSWAGEN-DES
6	VW-DUE ERRE	7	VOLKSWAGEN-DUE ERRE
1	VW-DUEERRE	7	VOLKSWAGEN-DUE ERRE
3	VOLKSWAGEN-EL	3	VOLKSWAGEN-EL
4	VW-ELNAGH	4	VOLKSWAGEN-ELNAGH
2	VW-EURAMOBIL	2	VOLKSWAGEN-EURAMOBIL
2	VOLKSWAGEN-GAZ	2	VOLKSWAGEN-GAZ
1	VOLKSWAGEN-GTR	1	VOLKSWAGEN-GTR
1	VOLKSWAGEN-KÄF	1	VOLKSWAGEN-KÄF
143	Volkswagen-Karmann	220	VOLKSWAGEN-KARMANN
71	VW-KARMANN	220	VOLKSWAGEN-KARMANN
6	VOLKSWAGEN KARM	220	VOLKSWAGEN-KARMANN
6	VOLKSWAGEN-MA	6	VOLKSWAGEN-MA
42	VOLKSWAGEN-MAC	62	VOLKSWAGEN-MAC
12	VW-MAC	62	VOLKSWAGEN-MAC
8	VOLKSWAGEN MAC	62	VOLKSWAGEN-MAC
5	VW-MAN	5	VOLKSWAGEN-MAN
26	VW-MATKAAJA	26	VOLKSWAGEN-MATKAAJA
4	VOLKSWAGEN-NO	4	VOLKSWAGEN-NO
31	VW-Porsche	31	VOLKSWAGEN-PORSCHE
6	VW-RIMOR	6	VOLKSWAGEN-RIMOR
10	VOLKSWAGEN-RPB	10	VOLKSWAGEN-RPB
7	VW-SOLIFER	7	VOLKSWAGEN-SOLIFER
182	VW-SWIFT	189	VOLKSWAGEN-SWIFT
7	VOLKSWAGEN SWIF	189	VOLKSWAGEN-SWIFT
2	VOLKSWAGEN-TAU	2	VOLKSWAGEN-TAU
4	VOLKSWAGEN-TISC	4	VOLKSWAGEN-TISC
260	Volkswagen-Westfalia	338	VOLKSWAGEN-WESTFALIA
78	VW-WESTFALIA	338	VOLKSWAGEN-WESTFALIA
4	Volkswagen-Wingamm	4	VOLKSWAGEN-WINGAMM
1255540	Volvo	1255540	VOLVO
36	VOLVO-NILSSON	36	VOLVO-NILSSON
6	WANDERER	6	WANDERER
457	Wartburg	457	WARTBURG
838	Weinsberg	881	WEINSBERG
43	WEINSBERG	881	WEINSBERG
23	Westfalia	23	WESTFALIA
4	Westfalia Mobil GmbH	4	WESTFALIA MOBIL
13	Westfield	13	WESTFIELD
6	WHITE	6	WHITE
360	Willys	366	WILLYS
6	WILLYS	366	WILLYS
12	WILLYS JEEP	12	WILLYS JEEP
6	WILLYS-KNIGHT	6	WILLYS-KNIGHT
2	WILLYS OVERLAN	2	WILLYS OVERLAN
10	WILLYS-OVERLAND	31	WILLYS-OVERLAND
3	Willys Overland	31	WILLYS-OVERLAND
18	WILLYS OVERLAND	31	WILLYS-OVERLAND
11	WINNEBAGO	13	WINNEBAGO
